127.0.0.1 - - [20/Sep/2018:23:39:58 +0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:40:37 +0800] "GET /EyuShopPortal/admin HTTP/1.1" 200 3560
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:40:37 +0800] "GET /EyuShopPortal/js/common.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:40:40 +0800] "POST /EyuShop/user/login HTTP/1.1" 200 306
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:40:40 +0800] "GET /EyuShopPortal/set_attribute?userId=1&account=13071679487&username=Rifu&headIcon=http%3A%2F%2F120.77.82.58%2Fimg%2Fui-1.png&gender=m&userStatus=1&token=&phone=13071679487&email=13071679487%40163.com&role=3 HTTP/1.1" 200 7
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:40:40 +0800] "GET /EyuShopPortal/admin HTTP/1.1" 200 4809
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:40:40 +0800] "GET /EyuShopPortal/js/manage/manage_product.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:40:40 +0800] "GET /EyuShopPortal/js/page/adminconsole.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:40:40 +0800] "GET /EyuShopPortal/js/manage/manage_order.js HTTP/1.1" 200 3727
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:40:48 +0800] "POST /EyuShopPortal/jsp/manage/manage_product.jsp HTTP/1.1" 200 2609
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:40:49 +0800] "GET /EyuShop/manage/product/list?key=&cid=0&pn=1&size=8 HTTP/1.1" 200 2478
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:41:23 +0800] "POST /EyuShopPortal/jsp/manage/manage_order.jsp HTTP/1.1" 200 3712
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:41:23 +0800] "GET /EyuShop/manage/order/list?pn=1&size=10&orderStatus=&orderNo= HTTP/1.1" 200 8829
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:41:33 +0800] "POST /EyuShop/manage/order/sendout HTTP/1.1" 200 56
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:41:35 +0800] "POST /EyuShop/manage/order/sendout HTTP/1.1" 200 56
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:41:36 +0800] "POST /EyuShop/manage/order/sendout HTTP/1.1" 200 22
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:41:36 +0800] "GET /EyuShop/manage/order/list?pn=1&size=10&orderStatus=&orderNo= HTTP/1.1" 200 8829
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:42:00 +0800] "POST /EyuShop/manage/order/sendout HTTP/1.1" 200 56
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:42:45 +0800] "GET /EyuShopPortal/ HTTP/1.1" 200 15123
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:42:45 +0800] "GET /EyuShop/product/list?cid=13&pn=1 HTTP/1.1" 200 339
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:42:45 +0800] "GET /EyuShop/product/list?cid=8&pn=1 HTTP/1.1" 200 602
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:42:45 +0800] "GET /EyuShop/manage/category/root_list HTTP/1.1" 200 2207
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:42:45 +0800] "GET /EyuShop/product/list?cid=11&pn=1 HTTP/1.1" 200 339
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:42:45 +0800] "GET /EyuShop/product/list?cid=7&pn=1 HTTP/1.1" 200 339
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:42:45 +0800] "GET /EyuShop/product/list?cid=10&pn=1 HTTP/1.1" 200 339
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:42:45 +0800] "GET /EyuShop/product/list?cid=7&pn=1 HTTP/1.1" 200 339
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:42:45 +0800] "GET /EyuShopPortal/get_attribute HTTP/1.1" 200 268
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:42:45 +0800] "GET /EyuShopPortal/get_attribute HTTP/1.1" 200 268
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:42:45 +0800] "GET /EyuShop/notify/count HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:42:45 +0800] "GET /EyuShop/cart/get_count_in_cart HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:42:45 +0800] "GET /EyuShop/cart/get_count_in_cart HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:42:45 +0800] "GET /EyuShop/notify/count HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:42:48 +0800] "GET /EyuShopPortal/personal HTTP/1.1" 200 7965
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:42:48 +0800] "GET /EyuShopPortal/js/page/personal.js HTTP/1.1" 200 3019
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:42:48 +0800] "GET /EyuShopPortal/get_attribute HTTP/1.1" 200 268
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:42:48 +0800] "GET /EyuShop/user/attr HTTP/1.1" 200 291
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:42:48 +0800] "GET /EyuShop/notify/count HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:42:48 +0800] "GET /EyuShop/cart/get_count_in_cart HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:42:51 +0800] "GET /EyuShopPortal/13071679487/col HTTP/1.1" 200 6553
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:42:51 +0800] "GET /EyuShopPortal/js/layout/personal_cart.js HTTP/1.1" 200 8667
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:42:51 +0800] "GET /EyuShopPortal/get_attribute HTTP/1.1" 200 268
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:42:51 +0800] "GET /EyuShop/cart/list HTTP/1.1" 200 147
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:42:51 +0800] "GET /EyuShop/notify/count HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:42:51 +0800] "GET /EyuShop/cart/get_count_in_cart HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:42:54 +0800] "GET /EyuShopPortal/13071679487/msg HTTP/1.1" 200 8115
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:42:54 +0800] "GET /EyuShopPortal/get_attribute HTTP/1.1" 200 268
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:42:54 +0800] "GET /EyuShop/notify/count HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:42:54 +0800] "GET /EyuShop/cart/get_count_in_cart HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:43:05 +0800] "GET /EyuShopPortal/13071679487/shipping HTTP/1.1" 200 7601
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:43:05 +0800] "GET /EyuShopPortal/get_attribute HTTP/1.1" 200 268
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:43:05 +0800] "GET /EyuShop/cart/get_count_in_cart HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:43:05 +0800] "GET /EyuShop/notify/count HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:43:18 +0800] "GET /EyuShopPortal/13071679487/rec HTTP/1.1" 200 8287
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:43:18 +0800] "GET /EyuShopPortal/js/layout/personal_record.js HTTP/1.1" 200 4239
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:43:18 +0800] "GET /EyuShopPortal/get_attribute HTTP/1.1" 200 268
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:43:18 +0800] "GET /EyuShop/record/list?pn=1 HTTP/1.1" 200 338
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:43:18 +0800] "GET /EyuShop/record/list?pn=1 HTTP/1.1" 200 338
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:43:18 +0800] "GET /EyuShop/notify/count HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:43:18 +0800] "GET /EyuShop/cart/get_count_in_cart HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:43:25 +0800] "GET /EyuShopPortal/index HTTP/1.1" 200 15123
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:43:25 +0800] "GET /EyuShopPortal/get_attribute HTTP/1.1" 200 268
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:43:25 +0800] "GET /EyuShopPortal/get_attribute HTTP/1.1" 200 268
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:43:25 +0800] "GET /EyuShop/product/list?cid=13&pn=1 HTTP/1.1" 200 339
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:43:25 +0800] "GET /EyuShop/product/list?cid=8&pn=1 HTTP/1.1" 200 602
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:43:25 +0800] "GET /EyuShop/product/list?cid=7&pn=1 HTTP/1.1" 200 339
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:43:25 +0800] "GET /EyuShop/manage/category/root_list HTTP/1.1" 200 2207
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:43:25 +0800] "GET /EyuShop/product/list?cid=11&pn=1 HTTP/1.1" 200 339
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:43:25 +0800] "GET /EyuShop/product/list?cid=7&pn=1 HTTP/1.1" 200 339
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:43:25 +0800] "GET /EyuShop/notify/count HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:43:25 +0800] "GET /EyuShop/product/list?cid=10&pn=1 HTTP/1.1" 200 339
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:43:25 +0800] "GET /EyuShop/cart/get_count_in_cart HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:43:25 +0800] "GET /EyuShop/notify/count HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:43:25 +0800] "GET /EyuShop/cart/get_count_in_cart HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:43:31 +0800] "GET /EyuShopPortal/product?pid=4 HTTP/1.1" 200 9168
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:43:31 +0800] "GET /EyuShopPortal/get_attribute HTTP/1.1" 200 268
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:43:31 +0800] "GET /EyuShopPortal/get_attribute HTTP/1.1" 200 268
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:43:31 +0800] "GET /EyuShop/notify/count HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:43:31 +0800] "GET /EyuShop/manage/category/root_list HTTP/1.1" 200 2207
0:0:0:0:0:0:0:1 - - [20/Sep/2018:23:43:31 +0800] "GET /EyuShop/cart/get_count_in_cart HTTP/1.1" 200 32
